name,description,A,B,longitude,latitude,AA
Alabama,Montgomery,,,-86.300568,32.377716,AA
Alaska,Juneau,,,-134.420212,58.301598,AA
Arizona,Phoenix,,,-112.096962,33.448143,AA
Arkansas,Little Rock,,,-92.288986,34.746613,AA
California,Sacramento,,,-121.493629,38.576668,AA
Colorado,Denver,,,-104.984856,39.739227,AA
Connecticut,Hartford<br>,,,-72.682198,41.764046,AA
Delaware,Dover,,,-75.519722,39.157307,AA
Hawaii,Honolulu,,,-157.857376,21.307442,AA
Florida,Tallahassee,,,-84.281296,30.438118,AA
Georgia,Atlanta<br>,,,-84.388229,33.749027,AA
Idaho,Boise,,,-116.199722,43.617775,AA
Illinois,Springfield,,,-89.654961,39.798363,AA
Indiana,Indianapolis,,,-86.162643,39.768623,AA
Iowa,Des Moines,,,-93.603729,41.591087,AA
Kansas,Topeka,,,-95.677956,39.048191,AA
Kentucky,Frankfort,,,-84.875374,38.186722,AA
Louisiana,Baton Rouge,,,-91.187393,30.457069,AA
Maine,Augusta,,,-69.781693,44.307167,AA
Maryland,Annapolis,,,-76.490936,38.978764,AA
Massachusetts,Boston,,,-71.063698,42.358162,AA
Michigan,Lansing,,,-84.555328,42.733635,AA
Minnesota,St. Paul,,,-93.102211,44.955097,AA
Mississippi,Jackson,,,-90.182106,32.303848,AA
Missouri,Jefferson City,,,-92.172935,38.579201,AA
Montana,Helena,,,-112.018417,46.585709,AA
Nebraska,Lincoln,,,-96.699654,40.808075,AA
Nevada,Carson City,,,-119.766121,39.163914,AA
New Hampshire,Concord,,,-71.537994,43.206898,AA
New Jersey,Trenton,,,-74.769913,40.220596,AA
New Mexico,Santa Fe,,,-105.939728,35.68224,AA
North Carolina,Raleigh,,,-78.639099,35.78043,AA
North Dakota,Bismarck,,,-100.783318,46.82085,AA
New York,Albany,,,-73.757874,42.652843,AA
Ohio,Columbus,,,-82.999069,39.961346,AA
Oklahoma,Oklahoma City,,,-97.503342,35.492207,AA
Oregon,Salem,,,-123.030403,44.938461,AA
Pennsylvania,Harrisburg,,,-76.883598,40.264378,AA
Rhode Island,Providence,,,-71.414963,41.830914,AA
South Carolina,Columbia,,,-81.033211,34.000343,AA
South Dakota,Pierre,,,-100.346405,44.367031,AA
Tennessee,Nashville,,,-86.784241,36.16581,AA
Texas,Austin,,,-97.740349,30.27467,AA
Utah,Salt Lake City,,,-111.888237,40.777477,AA
Vermont,Montpelier,,,-72.580536,44.262436,AA
Virginia,Richmond,,,-77.43364,37.538857,AA
Washington,Olympia,,,-122.905014,47.035805,AA
West Virginia,Charleston,,,-81.612328,38.336246,AA
Wisconsin,Madison,,,-89.384445,43.074684,AA
Wyoming,Cheyenne,,,-104.820236,41.140259,AA
